"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","KE1_metric","KE1_metric__present","KE2_metric","KE2_metric__present","KE3_metric","KE3_metric__present","LLNA_EC3","LLNA_EC3__present","complete_case"
"SkinSensDB","SDS","151-21-3","1.0","1.0","1.0","1.0","67.95","1","33.9","1","53.9","1","1.5","1","1"
"SkinSensDB","1-Phenyl-1 ,2-propanedione","579-07-7","1.0","1.0","1.0","1.0","43.95","1","55.5","1","35.0","1","1.3","1","1"
"SkinSensDB","3-Amino-2-methylamino-6-methoxypyridin x HCl","83732-72-3","1.0","1.0","1.0","1.0","67.4","1","7.17","1","6.73","1","5.6","1","1"
"SkinSensDB","1-Chloro-2,4-dinitrobenzene","97-00-7","1.0","1.0","1.0","1.0","79.15","1","1.4","1","0.5","1","0.012","1","1"
"SkinSensDB","2-Methyl-2H-Isothiazol-3-one","2682-20-4","1.0","1.0","1.0","1.0","51.3","1","11.7995217","1","1.0","1","0.37","1","1"
"SkinSensDB","1,2-Cyclohexane dicarboxylic anhydride","85-42-7","1.0","0.0","0.0","1.0","51.0","1","2000.0","1","200.0","1","0.84","1","1"
"SkinSensDB","OA66","","0.0","1.0","1.0","1.0","1.15","1","6.3","1","45.6","1","11.49","1","1"
"SkinSensDB","OA65","","0.0","1.0","1.0","1.0","0.5","1","12.3","1","100.0","1","39.43","1","1"
"SkinSensDB","OA59","","1.0","1.0","1.0","1.0","19.85","1","105.2","1","25.4","1","5.02","1","1"
"SkinSensDB","OA63","","1.0","1.0","1.0","1.0","67.6","1","12.7","1","1.9","1","0.37","1","1"
"SkinSensDB","OA57","","1.0","1.0","1.0","1.0","82.0","1","3.2","1","5.0","1","0.45","1","1"
"SkinSensDB","OA56","","1.0","1.0","1.0","1.0","67.0","1","32.0","1","11.1","1","0.1","1","1"
"SkinSensDB","OA53","","1.0","1.0","1.0","1.0","91.3","1","4.3","1","0.9","1","0.313","1","1"
"SkinSensDB","OA48","","1.0","0.0","1.0","1.0","48.6","1","2000.0","1","40.4","1","0.23","1","1"
"SkinSensDB","OA47","","1.0","1.0","1.0","1.0","61.15","1","37.3","1","50.6","1","1.15","1","1"
"SkinSensDB","OA45","","1.0","1.0","1.0","1.0","95.0","1","17.0","1","5.3","1","2.9","1","1"
"SkinSensDB","OA44","","1.0","1.0","1.0","1.0","61.0","1","4.0","1","0.1","1","0.5","1","1"
"SkinSensDB","OA64","","1.0","1.0","1.0","1.0","60.2","1","22.1","1","0.1","1","4.06","1","1"
"SkinSensDB","OA34","","1.0","1.0","1.0","1.0","87.2","1","4.0","1","17.9","1","2.11","1","1"
"SkinSensDB","OA35","","0.0","0.0","0.0","1.0","2.35","1","2000.0","1","200.0","1","17.0","1","1"
"SkinSensDB","OA33","","0.0","1.0","1.0","1.0","1.7","1","50.0","1","69.7","1","1.7","1","1"
"SkinSensDB","OA32","","1.0","1.0","1.0","1.0","24.2","1","24.0","1","4.2","1","9.12","1","1"
"SkinSensDB","OA31","","1.0","1.0","1.0","1.0","86.8","1","3.0","1","13.3","1","2.53","1","1"
"SkinSensDB","OA29","","1.0","1.0","1.0","1.0","89.4","1","22.0","1","31.0","1","8.37","1","1"
"SkinSensDB","OA28","","1.0","1.0","1.0","1.0","50.5","1","47.0","1","5.2","1","5.97","1","1"
"SkinSensDB","OA27","","1.0","1.0","1.0","1.0","60.0","1","1.0","1","0.1","1","1.7","1","1"
"SkinSensDB","OA25","","1.0","1.0","1.0","1.0","71.95","1","20.0","1","64.8","1","6.13","1","1"
"SkinSensDB","OA24","","0.0","1.0","1.0","1.0","2.2","1","6.0","1","25.0","1","2.6","1","1"
