Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,KE1_metric,KE1_metric__present,KE2_metric,KE2_metric__present,KE3_metric,KE3_metric__present,LLNA_EC3,LLNA_EC3__present,complete_case
SkinSensDB,Tetraammineplatinum chloride,13933-33-0,,,,,,0,,0,,0,,0,0
SkinSensDB,N-butylpyridinium chloride,1124-64-7,0.0,1.0,0.0,,0.0,1,181.61,1,1455.0,1,,0,0
SkinSensDB,"HC BLUE No,14",99788-75-7,1.0,1.0,1.0,,53.8,1,109.0,1,13.8,1,,0,0
SkinSensDB,"HC YELLOW No,10",109023-83-8,0.0,0.0,0.0,,2.55,1,2000.0,1,200.0,1,,0,0
SkinSensDB,Cetrimide,57-09-0,0.0,,1.0,,1.95,1,,0,0.8,1,,0,0
SkinSensDB,ACID VIOLET 43,4430-18-6,1.0,0.0,1.0,,79.8,1,2000.0,1,47.3,1,,0,0
SkinSensDB,Tocopherol,59-02-9,0.0,1.0,0.0,1.0,3.55,1,114.6,1,200.0,1,7.4,1,1
SkinSensDB,3-methylamino-4-nitrophenoxyethanol,59820-63-2,0.0,1.0,0.0,,3.8000000000000003,1,90.0,1,200.0,1,,0,0
SkinSensDB,"2,2'-[(4-Aminophenyl)imino]diethanol sulfate (1:1)",54381-16-7,1.0,1.0,1.0,1.0,67.55,1,0.9,1,7.7,1,1.04,1,1
SkinSensDB,dihydroxyindole,3131-52-0,1.0,0.0,1.0,1.0,99.6,1,2000.0,1,0.4,1,0.17,1,1
SkinSensDB,isatin,91-56-5,1.0,1.0,1.0,1.0,11.45,1,67.0,1,9.9,1,2.5,1,1
SkinSensDB,"2,4-Dinitroiodobenzene",709-49-9,,1.0,,1.0,,0,2.92,1,,0,0.17,1,0
SkinSensDB,"HC YELLOW No,7",104226-21-3,1.0,1.0,1.0,,20.9,1,163.0,1,4.6,1,,0,0
SkinSensDB,"(2E)-5,6,7-Trimethyl-2,5-octadien-4-one",357650-26-1,,1.0,,1.0,,0,5.22,1,,0,1.6,1,0
SkinSensDB,2-Amino-5-methylphenol,2835-98-5,,1.0,,1.0,,0,1.12,1,,0,1.6,1,0
SkinSensDB,"E-1-(2,6,6-trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",24720-09-0,1.0,1.0,1.0,1.0,51.995,1,2.98,1,6.17081073,1,3.3,1,1
SkinSensDB,Octyl gallate,1034-01-1,,1.0,,1.0,,0,4.62,1,,0,4.0,1,0
SkinSensDB,Delta Damascone,57378-68-4,,1.0,,1.0,,0,11.72,1,,0,3.55,1,0
SkinSensDB,"3,7-Dimethyl-2-methyleneoct-6-enal",22418-66-2,,1.0,,1.0,,0,5.1,1,,0,4.5,1,0
SkinSensDB,"2-Acetyl-1,3,3,4,4-pentamethylcyclopentene",13144-88-2,,0.0,,1.0,,0,4000.0,1,,0,14.4,1,0
SkinSensDB,Myraldene,37677-14-8,,1.0,,1.0,,0,2.0,1,,0,24.0,1,0
SkinSensDB,Benzoyl chloride,98-88-4,,0.0,,1.0,,0,4000.0,1,,0,0.23,1,0
SkinSensDB,"2-((3,7-Dimethyloct-6-en-1-yl)oxy)acetaldehyde",7492-67-3,,1.0,,1.0,,0,39.4,1,,0,28.3,1,0
SkinSensDB,"2,6-Dimethylhept-5-enal",106-72-9,,1.0,,1.0,,0,276.6,1,,0,21.0,1,0
SkinSensDB,Linalyl acetate,115-95-7,,0.0,,1.0,,0,4000.0,1,,0,25.0,1,0
SkinSensDB,Phenylglycidylether,122-60-1,,1.0,,1.0,,0,16.1,1,,0,0.46,1,0
SkinSensDB,Decylphenolpolyethylene glycol ether,14409-72-4,,0.0,,1.0,,0,4000.0,1,,0,1.984251,1,0
SkinSensDB,Diethylene glycol monohexadecyl ether,5274-61-3,,0.0,,1.0,,0,4000.0,1,,0,1.153025,1,0
SkinSensDB,2-(Phenylthiomethyl)oxirane,5296-21-9,,1.0,,1.0,,0,48.1,1,,0,0.581,1,0
SkinSensDB,Bisphenol F diglycidylether,2095-03-6,,1.0,,1.0,,0,6.5,1,,0,1.1232,1,0
SkinSensDB,Tetraethylene glycol monotetradecyl ether,39034-24-7,0.0,0.0,1.0,1.0,1.0,1,4000.0,1,23.09,1,2.8,1,1
SkinSensDB,p-Nitroaniline,100-01-6,,,,,,0,,0,,0,,0,0
SkinSensDB,Hexaethylene glycol monododecyl ether,3055-96-7,0.0,0.0,1.0,1.0,4.25,1,4000.0,1,15.25,1,7.4,1,1
SkinSensDB,Benzyl-glycidylether,2930-05-4,,1.0,,1.0,,0,27.2,1,,0,2.8,1,0
SkinSensDB,"2-(tert-butyl)-5-methyl-2-propyl-2,5-dihydrofuran",871465-49-5,,0.0,,1.0,,0,4000.0,1,,0,48.0,1,0
SkinSensDB,Methylaminosiloxane with glycidyl trimethylammonium chloride,495403-02-6,0.0,,,,-1.6,1,,0,,0,,0,0
SkinSensDB,Hexyl 2-methylbutanoate,10032-15-2,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,Cisplatin,15663-27-1,,,,,,0,,0,,0,,0,0
SkinSensDB,1-nonane sulfonic acid sodium salt,35192-74-6,1.0,0.0,,,55.9,1,4000.0,1,,0,,0,0
SkinSensDB,Benzalkonium chloride,63449-41-2,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,Phenoxyethyl isobutyrate,103-60-6,,1.0,,,,0,727.43,1,,0,,0,0
SkinSensDB,p-Nitro-benzaldehyde,555-16-8,,1.0,,,,0,300.65,1,,0,,0,0
SkinSensDB,Phenol,108-95-2,1.0,0.0,1.0,,8.2,1,2000.0,1,21.7,1,,0,0
SkinSensDB,Methyl isoeugenol,93-16-3,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,Chlorpromazine,69-09-0,,,,,,0,,0,,0,,0,0
SkinSensDB,alpha-Isobutylphenethyl alcohol,7779-78-4,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,Sclareol,515-03-7,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,2-Methoxyethyl acetate,110-49-6,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,Diazinon,333-41-5,,1.0,,,,0,20.66,1,,0,,0,0
SkinSensDB,Linalool alcohol,51276-33-6,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,alpha-Bisabolol,515-69-5,,,,0.0,,0,,0,,0,4593.0,1,0
SkinSensDB,Dicyclohexylamine,101-83-7,0.0,,,,2.435,1,,0,,0,,0,0
SkinSensDB,"Tricyclo[3.3.1.1.(3.7)]decan-2-ol, 4-methyl-8-methylene-",122760-84-3,,,,,,0,,0,,0,,0,0
SkinSensDB,Anisyl alcohol,105-13-5,,0.0,0.0,1.0,,0,2000.0,1,200.0,1,5.9,1,0
SkinSensDB,Mizoribine,50924-49-7,,,,,,0,,0,,0,,0,0
SkinSensDB,Benomyl,17804-35-2,,1.0,,,,0,3.33,1,,0,,0,0
SkinSensDB,Ylang-ylang,8006-81-3,,,,0.0,,0,,0,,0,1700.0,1,0
SkinSensDB,Treemoss,90028-67-4,1.0,1.0,1.0,0.0,60.47,1,1.99,1,7.16,1,2162.5,1,1
SkinSensDB,2-Hexylidene cyclopentanone,17373-89-6,1.0,1.0,,1.0,47.550000000000004,1,14.0,1,,0,2.4,1,0
SkinSensDB,2-phenylbenzimidazole-5-sulfonic acid (PBSA),27503-81-7,,1.0,,,,0,662.88,1,,0,,0,0
SkinSensDB,"HC BLUE No,2",33229-34-4,1.0,0.0,0.0,1.0,98.3,1,2000.0,1,200.0,1,4.1,1,1
SkinSensDB,2-Nonyn-1-al dimethyl acetal,13257-44-8,,1.0,1.0,,,0,140.37,1,139.3,1,,0,0
SkinSensDB,cis-4-(Isopropyl) cyclohexanemethanol,13828-37-0,,,1.0,1.0,,0,,0,28.18,1,44.0,1,0
SkinSensDB,Methyl atrarate,4707-47-5,,1.0,1.0,1.0,,0,151.97,1,46.4,1,19.0,1,0
SkinSensDB,Kanamycin,64013-70-3&70560-51-9,1.0,0.0,,,6.75,1,4000.0,1,,0,,0,0
SkinSensDB,Methyl anthranilate,134-20-3,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,Tetrahydro-4-methyl-2-propyl-2H-pyran-4-yl acetate,131766-73-9,,1.0,1.0,,,0,0.0,1,46.57,1,,0,0
SkinSensDB,".beta.,.beta.,3-Trimethyl benzenepropanol",103694-68-4,,1.0,1.0,1.0,,0,38.92,1,44.77,1,29.2,1,0
SkinSensDB,Isocyclocitral,1335-66-6,,0.0,1.0,1.0,,0,4000.0,1,85.0,1,7.3,1,0
SkinSensDB,Dysprosium (III) chloride hexahydrate,15059-52-6,,,,,,0,,0,,0,,0,0
SkinSensDB,Citronellal,106-23-0,,1.0,1.0,,,0,52.31,1,63.0,1,,0,0
SkinSensDB,"6-Methoxy-2,6-dimethyl-heptanal",62439-41-2,,1.0,,1.0,,0,53.0,1,,0,24.0,1,0
SkinSensDB,Lactic acid (LA),306-23-0,,,,,,0,,0,,0,,0,0
SkinSensDB,3-(4-Methyl-3-cyclohexenyl) butanol,15760-18-6,,1.0,1.0,1.0,,0,126.69,1,30.75,1,20.0,1,0
SkinSensDB,2-Methyldecanal,19009-56-4,,1.0,,1.0,,0,0.0,1,,0,23.6,1,0
SkinSensDB,3-Phenylbutanal,16251-77-7,,1.0,1.0,,,0,0.0,1,3.14,1,,0,0
SkinSensDB,4-Methoxy-a-methyl benzenpropanal,5462-06-6,,1.0,1.0,1.0,,0,54.25,1,5.49,1,23.6,1,0
SkinSensDB,omega-Pentadecalactone,106-02-5,,1.0,1.0,1.0,,0,0.0,1,16.78,1,16.6,1,0
SkinSensDB,beta-Farnesene,18794-84-8,,1.0,1.0,,,0,20.96,1,4.0,1,,0,0
SkinSensDB,Longifolene,475-20-7,,1.0,,1.0,,0,0.0,1,,0,1.75,1,0
SkinSensDB,1-Octen-3-yl acetate,2442-10-6,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,"2-Methyl-4-(2,6,6-trimethylcyclohex-1-en-1-yl)-2-butenal",3155-71-3,,,1.0,1.0,,0,,0,6.2,1,11.9,1,0
SkinSensDB,"2-Hexyl-1,3-dioxolane",1708-34-5,,1.0,,1.0,,0,0.0,1,,0,64.98,1,0
SkinSensDB,Diethanolamin,111-42-2,0.0,0.0,1.0,1.0,4.050000000000001,1,2000.0,1,26.0,1,40.0,1,1
SkinSensDB,"2,4,5,6 Tetraaminopyrimidine sulfate",5392-28-9,1.0,0.0,1.0,,61.05,1,2001.0,1,18.47954702,1,,0,0
SkinSensDB,2-Undecanol,1653-30-1,,0.0,,,,0,4000.0,1,,0,,0,0
SkinSensDB,"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one",56973-85-4,,1.0,1.0,1.0,,0,39.16,1,49.3,1,3.0,1,0
SkinSensDB,".beta.,4-Dimethylcyclohex-3-ene-1-propan-1-al",6784-13-0,,1.0,1.0,1.0,,0,101.58,1,43.58,1,8.12,1,0
SkinSensDB,Graphene nanoplatelets,7782-42-5,,0.0,,,,0,2001.0,1,,0,,0,0
SkinSensDB,p-Isobutyl-a-methyl hydrocinnamaldehdye,6658-48-6,,0.0,1.0,1.0,,0,2000.0,1,4.56,1,7.6,1,0
SkinSensDB,3-(p-Isopropylphenyl) propionaldehyde,7775-00-0,,,1.0,1.0,,0,,0,5.95,1,18.6,1,0
SkinSensDB,"4-(1,1-Dimethylethyl)-benzenepropanal",18127-01-0,,0.0,1.0,1.0,,0,2000.0,1,10.3,1,4.3,1,0
SkinSensDB,Benzene,71-43-2,,,,,,0,,0,,0,,0,0
SkinSensDB,"1,5-Dihydroxynaphtalin",83-56-7,0.0,1.0,1.0,1.0,0.0,1,34.24,1,12.7,1,3.4,1,1
SkinSensDB,Cuminaldehyde,122-03-2,,1.0,,,,0,0.0,1,,0,,0,0
SkinSensDB,1-(Chloromethyl)-4-nitrobenzene,100-14-1,,1.0,,,,0,3.97,1,,0,,0,0
SkinSensDB,"7-Methyl-2H-benzo-1,5-dioxepin-3(4H)-one",28940-11-6,,1.0,1.0,,,0,421.36,1,37.95,1,,0,0
SkinSensDB,Oakmoss,9000-50-4/90028-68-5,,,1.0,1.0,,0,,0,10.89,1,3.5,1,0
SkinSensDB,Allyl phenoxyacetate,7493-74-5,,1.0,0.0,1.0,,0,404.9,1,200.0,1,3.1,1,0
SkinSensDB,"Methyl 2,4-dihydroxy-m-toluate",33662-58-7,,1.0,1.0,1.0,,0,202.62,1,32.96,1,8.8,1,0
SkinSensDB,Tea Leaf Absolute,84650-60-2,1.0,,1.0,,79.785,1,,0,51.9,1,,0,0
SkinSensDB,Ytterbium (III) chloride hexahydrate,10035-01-5,,,,,,0,,0,,0,,0,0
SkinSensDB,3-Methyl-5-phenylpent-2-enenitrile,93893-89-1,,,1.0,1.0,,0,,0,14.21,1,0.77,1,0
SkinSensDB,Mitomycin C,50-07-7,,,,,,0,,0,,0,,0,0
SkinSensDB,2-Isobutyl-4-methyltetrahydro-2H-pyran-4-ol,63500-71-0,,0.0,0.0,,,0,2000.0,1,188.8,1,,0,0
SkinSensDB,"Propanedioic acid, 1-(3,3-dimethylcyclohexyl) ethyl, ethyl ester",478695-70-4,,0.0,1.0,,,0,2000.0,1,38.9,1,,0,0
SkinSensDB,Zinc oxide,1314-13-2,0.0,,1.0,,4.925,1,,0,143.0,1,,0,0
SkinSensDB,"Ethylene 1,11-undecanedicarboxylate",105-95-3,,0.0,1.0,,,0,2000.0,1,20.5,1,,0,0
SkinSensDB,"5-Cyclotetradecen-1-one, 3-methyl-,(5E)-",259854-70-1,,1.0,,1.0,,0,0.0,1,,0,16.4,1,0
SkinSensDB,2-Methyldecanenitrile,69300-15-8,,0.0,1.0,,,0,2000.0,1,10.0,1,,0,0
SkinSensDB,1-(3-Methyl-2-benzofuranyl) ethanone,23911-56-0,,1.0,0.0,,,0,305.7,1,200.0,1,,0,0
SkinSensDB,Ylang Ylang,8006-81-3;68606-83-7;83863-30-3,0.0,1.0,1.0,1.0,5.475,1,4.95,1,28.33,1,6.8,1,1
SkinSensDB,Polyethylene glycol,25322-68-3,,,,,,0,,0,,0,,0,0
SkinSensDB,Tridecyl methacrylate,2495-25-2,,,1.0,,,0,,0,75.7,1,,0,0
