Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
SkinSensDB,2-MBT (2-Mercaptobenzothiazole),149-30-4,1,1,1,1,111,3,True,0
SkinSensDB,2-Hydroxy-ethyl-acrylate,818-61-1,1,1,1,1,111,3,True,0
SkinSensDB,"1-Thioglycerol(3-mercapto-1 ,2-propanediol)",96-27-5,1,0,1,1,101,2,False,1
SkinSensDB,Resorcinol,108-46-3,1,0,1,1,101,2,False,1
SkinSensDB,"3,3, 4,5-Tetrachlorosalicylanilide",1154-59-2,1,1,1,1,111,3,True,0
SkinSensDB,"3,4-Dihydrocoumarin",119-84-6,1,0,0,1,100,1,False,1
SkinSensDB,Oakmoss,90028-68-5,1,1,1,1,111,3,True,0
SkinSensDB,"HC VIOLET No,2",104226-19-9,1,1,0,1,110,2,False,1
SkinSensDB,3-AminophenoI,591-27-5,1,1,1,1,111,3,True,0
SkinSensDB,"1,3-phenylenediamine",108-45-2,1,1,1,1,111,3,True,0
SkinSensDB,Bandrowski's Base,20048-27-5,1,1,1,1,111,3,True,0
SkinSensDB,"1 ,4-Phenylenediamine(PPD)",106-50-3,1,1,1,1,111,3,True,0
SkinSensDB,"2-Nitro-1 ,4-phenylendiamine",5307-14-2,1,1,1,1,111,3,True,0
SkinSensDB,Jasmine Absolute (Sambac),91770-14-8,0,1,1,1,011,2,False,1
SkinSensDB,4-AllyIanisole,140-67-0,1,1,1,1,111,3,True,0
SkinSensDB,"HC RED No, 7",24905-87-1,1,1,1,1,111,3,True,0
SkinSensDB,4-Aminobenzoic acid,150-13-0,1,0,0,1,100,1,False,1
SkinSensDB,4-Amino-3-nitrophenol,610-81-1,1,1,1,1,111,3,True,0
SkinSensDB,Anethole,104-46-1,0,0,1,1,001,1,False,1
SkinSensDB,"2,7-Dihydroxynaphthalin",582-17-2,1,1,1,1,111,3,True,0
SkinSensDB,Iodopropynyl butyl carbamate,55406-53-6,1,1,1,1,111,3,True,0
SkinSensDB,Methyl acrylate,96-33-3,1,1,1,1,111,3,True,0
