Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case
ICE,alpha-Tocopherol,10191-41-0,0.0,,0.0,1.0,,0,0,,0,,0,,0,Inactive,1,,0,1.0,1,,0,7.75,1,1.0,Call,1,0,0,0,0,0
ICE,Clotrimazole,23593-75-1,1.0,,0.0,1.0,,0,0,,0,,0,,0,Inactive,1,,0,,0,,0,4.8,1,1.0,EC3,1,0,0,0,0,0
ICE,Cobalt chloride,7646-79-9,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,Active,1,Active,1,,0,1.0,1,,0,0.6,1,1.0,Call,1,1,0,1,1,1
ICE,Isophorone diisocyanate,4098-71-9,1.0,1.0,,1.0,,0,0,,0,,0,Active,1,,0,,0,1.0,1,,0,0.1,1,1.0,Call,1,0,0,0,0,0
ICE,"1,6-Diisocyanatohexane",822-06-0,1.0,1.0,,1.0,,0,0,,0,,0,Active,1,,0,,0,1.0,1,,0,0.03,1,1.0,Call,1,0,0,0,0,0
ICE,1-Bromobutane,109-65-9,1.0,0.0,1.0,,,0,1,5.55,1,Inactive,1,,0,Active,1,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,1-Naphthol,90-15-3,1.0,1.0,1.0,1.0,0.0,0,0,30.15,1,Active,1,,0,Active,1,Active,1,,0,,0,1.3,1,1.0,EC3,1,0,1,1,1,1
ICE,"1,4-Benzoquinone",106-51-4,1.0,1.0,1.0,1.0,0.0,0,0,93.225,1,Active,1,Active,1,Active,1,Active,1,,0,,0,0.0099,1,1.0,EC3,1,0,1,1,1,1
ICE,Benzoyl peroxide,94-36-0,1.0,0.0,1.0,1.0,1.0,0,1,90.65,1,Inactive,1,Inactive,1,Inactive,1,Active,1,,0,,0,0.0137,1,1.0,EC3,1,0,1,1,0,0
ICE,Benzyl benzoate,120-51-4,0.0,1.0,0.0,1.0,1.0,0,0,1.6,1,Active,1,,0,Inactive,1,Inactive,1,,0,,0,17.0,1,1.0,EC3,1,0,1,1,1,1
